,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00019458499809843488,0.0,0.0,1,80
1,1,0.007953410997288302,0.0,2.0,1,80
2,2,0.008073656998021761,0.0,4.0,1,80
3,3,0.008152738999342546,0.0,6.0,1,80
4,4,0.008226252997701522,0.0,8.0,1,80
5,5,0.008301832000142895,0.0,10.0,1,80
6,6,0.008375714998692274,0.0,12.0,1,80
7,7,0.008450344997982029,0.0,14.0,1,80
8,8,0.008530621998943388,0.0,16.0,1,80
9,9,0.008607997999206418,0.0,18.0,1,80
10,10,0.008685623997735092,0.0,20.0,1,80
11,11,0.008813876997010084,0.0,22.0,1,80
12,12,0.008938382998167071,0.0,24.0,1,80
13,13,0.00902735300041968,0.0,26.0,1,80
14,14,0.009111343999393284,0.0,28.0,1,80
15,15,0.009194197999022435,0.0,30.0,1,80
16,16,0.009275614000216592,0.0,32.0,1,80
17,17,0.009358980998513289,0.0,34.0,1,80
18,18,0.009442326998396311,0.0,36.0,1,80
19,19,0.009525993998977356,0.0,38.0,1,80
20,20,0.009611563000362366,0.0,40.0,1,80
21,21,0.00969776299825753,0.0,42.0,1,80
22,22,0.0097850149977603,0.0,44.0,1,80
23,23,0.009886812997137895,0.0,46.0,1,80
24,24,0.00997295699926326,0.0,48.0,1,80
25,25,0.010060677999717882,0.0,50.0,1,80
26,26,0.010150332000193885,0.0,52.0,1,80
27,27,0.010239224997349083,0.0,54.0,1,80
28,28,0.010329538999940269,0.0,56.0,1,80
29,29,0.010420984999655047,0.0,58.0,1,80
30,30,0.010513552999327658,0.0,60.0,1,80
31,31,0.010606964999169577,0.0,62.0,1,80
32,32,0.010701166997023392,0.0,64.0,1,80
33,33,0.010795173999213148,0.0,66.0,1,80
34,34,0.01088996599719394,0.0,68.0,1,80
35,35,0.010986338998918654,0.0,70.0,1,80
36,36,0.011084103000030154,0.0,72.0,1,80
37,37,0.01118197399773635,0.0,74.0,1,80
38,38,0.011281147999397945,0.0,76.0,1,80
39,39,0.011380676998669514,0.0,78.0,1,80
40,40,0.011481605997687439,0.0,80.0,1,80
41,41,0.011583090999920387,0.0,82.0,1,80
42,42,0.011687047997838818,0.0,84.0,1,80
43,43,0.011791470999014564,0.0,86.0,1,80
44,44,0.011897718999534845,0.0,88.0,1,80
45,45,0.012007342997094383,0.0,90.0,1,80
46,46,0.012114594999729889,0.0,92.0,1,80
47,47,0.012222792996908538,0.0,94.0,1,80
48,48,0.012463980998290936,0.0,96.0,1,80
49,49,0.012676676000410225,0.0,98.0,1,80
50,50,0.012836629997764248,0.0,100.0,1,80
51,51,0.012969924999197247,0.0,102.0,1,80
52,52,0.013084645997878397,0.0,104.0,1,80
53,53,0.013197830998251447,0.0,106.0,1,80
54,54,0.01331073099936475,0.0,108.0,1,80
55,55,0.013424905999272596,0.0,110.0,1,80
56,56,0.01353906599979382,0.0,112.0,1,80
57,57,0.013654526999744121,0.0,114.0,1,80
58,58,0.013769752000371227,0.0,116.0,1,80
59,59,0.013905664996855194,0.0,118.0,1,80
60,60,0.014026469998498214,0.0,120.0,1,80
61,61,0.014148379999824101,0.0,122.0,1,80
62,62,0.014270255000155885,0.0,124.0,1,80
63,63,0.01439335199756897,0.0,126.0,1,80
64,64,0.014518789997964632,0.0,128.0,1,80
65,65,0.01464662199941813,0.0,130.0,1,80
66,66,0.014779380999243585,0.0,132.0,1,80
67,67,0.014919237997673918,0.0,134.0,1,80
68,68,0.015043360999698052,0.0,136.0,1,80
69,69,0.015168423997238278,0.0,138.0,1,80
70,70,0.015294335997168673,0.0,140.0,1,80
71,71,0.015421268999489257,0.0,142.0,1,80
72,72,0.015549088999250671,0.0,144.0,1,80
73,73,0.01568277600017609,0.0,146.0,1,80
74,74,0.01581476899809786,0.0,148.0,1,80
75,75,0.015946133997204015,0.0,150.0,1,80
76,76,0.01607652099846746,0.0,152.0,1,80
77,77,0.016208501998335123,0.0,154.0,1,80
78,78,0.016340914997272193,0.0,156.0,1,80
79,79,0.016475071999593638,0.0,158.0,1,80
80,80,0.016609755999525078,0.0,160.0,1,80
81,0,0.00019458499809843488,0.0,0.0,10,80
82,1,0.007953410997288302,0.0,2.0,10,80
83,2,0.008073656998021761,0.0,4.0,10,80
84,3,0.008152738999342546,0.0,6.0,10,80
85,4,0.008226252997701522,0.0,8.0,10,80
86,5,0.008301832000142895,0.0,10.0,10,80
87,6,0.008375714998692274,0.0,12.0,10,80
88,7,0.008450344997982029,0.0,14.0,10,80
89,8,0.008530621998943388,0.0,16.0,10,80
90,9,0.008607997999206418,0.0,18.0,10,80
91,10,0.008685623997735092,0.0,20.0,10,80
92,11,0.008813876997010084,0.0,22.0,10,80
93,12,0.008938382998167071,0.0,24.0,10,80
94,13,0.00902735300041968,0.0,26.0,10,80
95,14,0.009111343999393284,0.0,28.0,10,80
96,15,0.009194197999022435,0.0,30.0,10,80
97,16,0.009275614000216592,0.0,32.0,10,80
98,17,0.009358980998513289,0.0,34.0,10,80
99,18,0.009442326998396311,0.0,36.0,10,80
100,19,0.009525993998977356,0.0,38.0,10,80
101,20,0.009611563000362366,0.0,40.0,10,80
102,21,0.00969776299825753,0.0,42.0,10,80
103,22,0.0097850149977603,0.0,44.0,10,80
104,23,0.009886812997137895,0.0,46.0,10,80
105,24,0.00997295699926326,0.0,48.0,10,80
106,25,0.010060677999717882,0.0,50.0,10,80
107,26,0.010150332000193885,0.0,52.0,10,80
108,27,0.010239224997349083,0.0,54.0,10,80
109,28,0.010329538999940269,0.0,56.0,10,80
110,29,0.010420984999655047,0.0,58.0,10,80
111,30,0.010513552999327658,0.0,60.0,10,80
112,31,0.010606964999169577,0.0,62.0,10,80
113,32,0.010701166997023392,0.0,64.0,10,80
114,33,0.010795173999213148,0.0,66.0,10,80
115,34,0.01088996599719394,0.0,68.0,10,80
116,35,0.010986338998918654,0.0,70.0,10,80
117,36,0.011084103000030154,0.0,72.0,10,80
118,37,0.01118197399773635,0.0,74.0,10,80
119,38,0.011281147999397945,0.0,76.0,10,80
120,39,0.011380676998669514,0.0,78.0,10,80
121,40,0.011481605997687439,0.0,80.0,10,80
122,41,0.011583090999920387,0.0,82.0,10,80
123,42,0.011687047997838818,0.0,84.0,10,80
124,43,0.011791470999014564,0.0,86.0,10,80
125,44,0.011897718999534845,0.0,88.0,10,80
126,45,0.012007342997094383,0.0,90.0,10,80
127,46,0.012114594999729889,0.0,92.0,10,80
128,47,0.012222792996908538,0.0,94.0,10,80
129,48,0.012463980998290936,0.0,96.0,10,80
130,49,0.012676676000410225,0.0,98.0,10,80
131,50,0.012836629997764248,0.0,100.0,10,80
132,51,0.012969924999197247,0.0,102.0,10,80
133,52,0.013084645997878397,0.0,104.0,10,80
134,53,0.013197830998251447,0.0,106.0,10,80
135,54,0.01331073099936475,0.0,108.0,10,80
136,55,0.013424905999272596,0.0,110.0,10,80
137,56,0.01353906599979382,0.0,112.0,10,80
138,57,0.013654526999744121,0.0,114.0,10,80
139,58,0.013769752000371227,0.0,116.0,10,80
140,59,0.013905664996855194,0.0,118.0,10,80
141,60,0.014026469998498214,0.0,120.0,10,80
142,61,0.014148379999824101,0.0,122.0,10,80
143,62,0.014270255000155885,0.0,124.0,10,80
144,63,0.01439335199756897,0.0,126.0,10,80
145,64,0.014518789997964632,0.0,128.0,10,80
146,65,0.01464662199941813,0.0,130.0,10,80
147,66,0.014779380999243585,0.0,132.0,10,80
148,67,0.014919237997673918,0.0,134.0,10,80
149,68,0.015043360999698052,0.0,136.0,10,80
150,69,0.015168423997238278,0.0,138.0,10,80
151,70,0.015294335997168673,0.0,140.0,10,80
152,71,0.015421268999489257,0.0,142.0,10,80
153,72,0.015549088999250671,0.0,144.0,10,80
154,73,0.01568277600017609,0.0,146.0,10,80
155,74,0.01581476899809786,0.0,148.0,10,80
156,75,0.015946133997204015,0.0,150.0,10,80
157,76,0.01607652099846746,0.0,152.0,10,80
158,77,0.016208501998335123,0.0,154.0,10,80
159,78,0.016340914997272193,0.0,156.0,10,80
160,79,0.016475071999593638,0.0,158.0,10,80
161,80,0.016609755999525078,0.0,160.0,10,80
162,0,0.00019458499809843488,0.0,0.0,50,80
163,1,0.007953410997288302,0.0,2.0,50,80
164,2,0.008073656998021761,0.0,4.0,50,80
165,3,0.008152738999342546,0.0,6.0,50,80
166,4,0.008226252997701522,0.0,8.0,50,80
167,5,0.008301832000142895,0.0,10.0,50,80
168,6,0.008375714998692274,0.0,12.0,50,80
169,7,0.008450344997982029,0.0,14.0,50,80
170,8,0.008530621998943388,0.0,16.0,50,80
171,9,0.008607997999206418,0.0,18.0,50,80
172,10,0.008685623997735092,0.0,20.0,50,80
173,11,0.008813876997010084,0.0,22.0,50,80
174,12,0.008938382998167071,0.0,24.0,50,80
175,13,0.00902735300041968,0.0,26.0,50,80
176,14,0.009111343999393284,0.0,28.0,50,80
177,15,0.009194197999022435,0.0,30.0,50,80
178,16,0.009275614000216592,0.0,32.0,50,80
179,17,0.009358980998513289,0.0,34.0,50,80
180,18,0.009442326998396311,0.0,36.0,50,80
181,19,0.009525993998977356,0.0,38.0,50,80
182,20,0.009611563000362366,0.0,40.0,50,80
183,21,0.00969776299825753,0.0,42.0,50,80
184,22,0.0097850149977603,0.0,44.0,50,80
185,23,0.009886812997137895,0.0,46.0,50,80
186,24,0.00997295699926326,0.0,48.0,50,80
187,25,0.010060677999717882,0.0,50.0,50,80
188,26,0.010150332000193885,0.0,52.0,50,80
189,27,0.010239224997349083,0.0,54.0,50,80
190,28,0.010329538999940269,0.0,56.0,50,80
191,29,0.010420984999655047,0.0,58.0,50,80
192,30,0.010513552999327658,0.0,60.0,50,80
193,31,0.010606964999169577,0.0,62.0,50,80
194,32,0.010701166997023392,0.0,64.0,50,80
195,33,0.010795173999213148,0.0,66.0,50,80
196,34,0.01088996599719394,0.0,68.0,50,80
197,35,0.010986338998918654,0.0,70.0,50,80
198,36,0.011084103000030154,0.0,72.0,50,80
199,37,0.01118197399773635,0.0,74.0,50,80
200,38,0.011281147999397945,0.0,76.0,50,80
201,39,0.011380676998669514,0.0,78.0,50,80
202,40,0.011481605997687439,0.0,80.0,50,80
203,41,0.011583090999920387,0.0,82.0,50,80
204,42,0.011687047997838818,0.0,84.0,50,80
205,43,0.011791470999014564,0.0,86.0,50,80
206,44,0.011897718999534845,0.0,88.0,50,80
207,45,0.012007342997094383,0.0,90.0,50,80
208,46,0.012114594999729889,0.0,92.0,50,80
209,47,0.012222792996908538,0.0,94.0,50,80
210,48,0.012463980998290936,0.0,96.0,50,80
211,49,0.012676676000410225,0.0,98.0,50,80
212,50,0.012836629997764248,0.0,100.0,50,80
213,51,0.012969924999197247,0.0,102.0,50,80
214,52,0.013084645997878397,0.0,104.0,50,80
215,53,0.013197830998251447,0.0,106.0,50,80
216,54,0.01331073099936475,0.0,108.0,50,80
217,55,0.013424905999272596,0.0,110.0,50,80
218,56,0.01353906599979382,0.0,112.0,50,80
219,57,0.013654526999744121,0.0,114.0,50,80
220,58,0.013769752000371227,0.0,116.0,50,80
221,59,0.013905664996855194,0.0,118.0,50,80
222,60,0.014026469998498214,0.0,120.0,50,80
223,61,0.014148379999824101,0.0,122.0,50,80
224,62,0.014270255000155885,0.0,124.0,50,80
225,63,0.01439335199756897,0.0,126.0,50,80
226,64,0.014518789997964632,0.0,128.0,50,80
227,65,0.01464662199941813,0.0,130.0,50,80
228,66,0.014779380999243585,0.0,132.0,50,80
229,67,0.014919237997673918,0.0,134.0,50,80
230,68,0.015043360999698052,0.0,136.0,50,80
231,69,0.015168423997238278,0.0,138.0,50,80
232,70,0.015294335997168673,0.0,140.0,50,80
233,71,0.015421268999489257,0.0,142.0,50,80
234,72,0.015549088999250671,0.0,144.0,50,80
235,73,0.01568277600017609,0.0,146.0,50,80
236,74,0.01581476899809786,0.0,148.0,50,80
237,75,0.015946133997204015,0.0,150.0,50,80
238,76,0.01607652099846746,0.0,152.0,50,80
239,77,0.016208501998335123,0.0,154.0,50,80
240,78,0.016340914997272193,0.0,156.0,50,80
241,79,0.016475071999593638,0.0,158.0,50,80
242,80,0.016609755999525078,0.0,160.0,50,80
243,0,0.00019458499809843488,0.0,0.0,100,80
244,1,0.007953410997288302,0.0,2.0,100,80
245,2,0.008073656998021761,0.0,4.0,100,80
246,3,0.008152738999342546,0.0,6.0,100,80
247,4,0.008226252997701522,0.0,8.0,100,80
248,5,0.008301832000142895,0.0,10.0,100,80
249,6,0.008375714998692274,0.0,12.0,100,80
250,7,0.008450344997982029,0.0,14.0,100,80
251,8,0.008530621998943388,0.0,16.0,100,80
252,9,0.008607997999206418,0.0,18.0,100,80
253,10,0.008685623997735092,0.0,20.0,100,80
254,11,0.008813876997010084,0.0,22.0,100,80
255,12,0.008938382998167071,0.0,24.0,100,80
256,13,0.00902735300041968,0.0,26.0,100,80
257,14,0.009111343999393284,0.0,28.0,100,80
258,15,0.009194197999022435,0.0,30.0,100,80
259,16,0.009275614000216592,0.0,32.0,100,80
260,17,0.009358980998513289,0.0,34.0,100,80
261,18,0.009442326998396311,0.0,36.0,100,80
262,19,0.009525993998977356,0.0,38.0,100,80
263,20,0.009611563000362366,0.0,40.0,100,80
264,21,0.00969776299825753,0.0,42.0,100,80
265,22,0.0097850149977603,0.0,44.0,100,80
266,23,0.009886812997137895,0.0,46.0,100,80
267,24,0.00997295699926326,0.0,48.0,100,80
268,25,0.010060677999717882,0.0,50.0,100,80
269,26,0.010150332000193885,0.0,52.0,100,80
270,27,0.010239224997349083,0.0,54.0,100,80
271,28,0.010329538999940269,0.0,56.0,100,80
272,29,0.010420984999655047,0.0,58.0,100,80
273,30,0.010513552999327658,0.0,60.0,100,80
274,31,0.010606964999169577,0.0,62.0,100,80
275,32,0.010701166997023392,0.0,64.0,100,80
276,33,0.010795173999213148,0.0,66.0,100,80
277,34,0.01088996599719394,0.0,68.0,100,80
278,35,0.010986338998918654,0.0,70.0,100,80
279,36,0.011084103000030154,0.0,72.0,100,80
280,37,0.01118197399773635,0.0,74.0,100,80
281,38,0.011281147999397945,0.0,76.0,100,80
282,39,0.011380676998669514,0.0,78.0,100,80
283,40,0.011481605997687439,0.0,80.0,100,80
284,41,0.011583090999920387,0.0,82.0,100,80
285,42,0.011687047997838818,0.0,84.0,100,80
286,43,0.011791470999014564,0.0,86.0,100,80
287,44,0.011897718999534845,0.0,88.0,100,80
288,45,0.012007342997094383,0.0,90.0,100,80
289,46,0.012114594999729889,0.0,92.0,100,80
290,47,0.012222792996908538,0.0,94.0,100,80
291,48,0.012463980998290936,0.0,96.0,100,80
292,49,0.012676676000410225,0.0,98.0,100,80
293,50,0.012836629997764248,0.0,100.0,100,80
294,51,0.012969924999197247,0.0,102.0,100,80
295,52,0.013084645997878397,0.0,104.0,100,80
296,53,0.013197830998251447,0.0,106.0,100,80
297,54,0.01331073099936475,0.0,108.0,100,80
298,55,0.013424905999272596,0.0,110.0,100,80
299,56,0.01353906599979382,0.0,112.0,100,80
300,57,0.013654526999744121,0.0,114.0,100,80
301,58,0.013769752000371227,0.0,116.0,100,80
302,59,0.013905664996855194,0.0,118.0,100,80
303,60,0.014026469998498214,0.0,120.0,100,80
304,61,0.014148379999824101,0.0,122.0,100,80
305,62,0.014270255000155885,0.0,124.0,100,80
306,63,0.01439335199756897,0.0,126.0,100,80
307,64,0.014518789997964632,0.0,128.0,100,80
308,65,0.01464662199941813,0.0,130.0,100,80
309,66,0.014779380999243585,0.0,132.0,100,80
310,67,0.014919237997673918,0.0,134.0,100,80
311,68,0.015043360999698052,0.0,136.0,100,80
312,69,0.015168423997238278,0.0,138.0,100,80
313,70,0.015294335997168673,0.0,140.0,100,80
314,71,0.015421268999489257,0.0,142.0,100,80
315,72,0.015549088999250671,0.0,144.0,100,80
316,73,0.01568277600017609,0.0,146.0,100,80
317,74,0.01581476899809786,0.0,148.0,100,80
318,75,0.015946133997204015,0.0,150.0,100,80
319,76,0.01607652099846746,0.0,152.0,100,80
320,77,0.016208501998335123,0.0,154.0,100,80
321,78,0.016340914997272193,0.0,156.0,100,80
322,79,0.016475071999593638,0.0,158.0,100,80
323,80,0.016609755999525078,0.0,160.0,100,80
324,0,0.00019458499809843488,0.0,0.0,250,80
325,1,0.007953410997288302,0.0,2.0,250,80
326,2,0.008073656998021761,0.0,4.0,250,80
327,3,0.008152738999342546,0.0,6.0,250,80
328,4,0.008226252997701522,0.0,8.0,250,80
329,5,0.008301832000142895,0.0,10.0,250,80
330,6,0.008375714998692274,0.0,12.0,250,80
331,7,0.008450344997982029,0.0,14.0,250,80
332,8,0.008530621998943388,0.0,16.0,250,80
333,9,0.008607997999206418,0.0,18.0,250,80
334,10,0.008685623997735092,0.0,20.0,250,80
335,11,0.008813876997010084,0.0,22.0,250,80
336,12,0.008938382998167071,0.0,24.0,250,80
337,13,0.00902735300041968,0.0,26.0,250,80
338,14,0.009111343999393284,0.0,28.0,250,80
339,15,0.009194197999022435,0.0,30.0,250,80
340,16,0.009275614000216592,0.0,32.0,250,80
341,17,0.009358980998513289,0.0,34.0,250,80
342,18,0.009442326998396311,0.0,36.0,250,80
343,19,0.009525993998977356,0.0,38.0,250,80
344,20,0.009611563000362366,0.0,40.0,250,80
345,21,0.00969776299825753,0.0,42.0,250,80
346,22,0.0097850149977603,0.0,44.0,250,80
347,23,0.009886812997137895,0.0,46.0,250,80
348,24,0.00997295699926326,0.0,48.0,250,80
349,25,0.010060677999717882,0.0,50.0,250,80
350,26,0.010150332000193885,0.0,52.0,250,80
351,27,0.010239224997349083,0.0,54.0,250,80
352,28,0.010329538999940269,0.0,56.0,250,80
353,29,0.010420984999655047,0.0,58.0,250,80
354,30,0.010513552999327658,0.0,60.0,250,80
355,31,0.010606964999169577,0.0,62.0,250,80
356,32,0.010701166997023392,0.0,64.0,250,80
357,33,0.010795173999213148,0.0,66.0,250,80
358,34,0.01088996599719394,0.0,68.0,250,80
359,35,0.010986338998918654,0.0,70.0,250,80
360,36,0.011084103000030154,0.0,72.0,250,80
361,37,0.01118197399773635,0.0,74.0,250,80
362,38,0.011281147999397945,0.0,76.0,250,80
363,39,0.011380676998669514,0.0,78.0,250,80
364,40,0.011481605997687439,0.0,80.0,250,80
365,41,0.011583090999920387,0.0,82.0,250,80
366,42,0.011687047997838818,0.0,84.0,250,80
367,43,0.011791470999014564,0.0,86.0,250,80
368,44,0.011897718999534845,0.0,88.0,250,80
369,45,0.012007342997094383,0.0,90.0,250,80
370,46,0.012114594999729889,0.0,92.0,250,80
371,47,0.012222792996908538,0.0,94.0,250,80
372,48,0.012463980998290936,0.0,96.0,250,80
373,49,0.012676676000410225,0.0,98.0,250,80
374,50,0.012836629997764248,0.0,100.0,250,80
375,51,0.012969924999197247,0.0,102.0,250,80
376,52,0.013084645997878397,0.0,104.0,250,80
377,53,0.013197830998251447,0.0,106.0,250,80
378,54,0.01331073099936475,0.0,108.0,250,80
379,55,0.013424905999272596,0.0,110.0,250,80
380,56,0.01353906599979382,0.0,112.0,250,80
381,57,0.013654526999744121,0.0,114.0,250,80
382,58,0.013769752000371227,0.0,116.0,250,80
383,59,0.013905664996855194,0.0,118.0,250,80
384,60,0.014026469998498214,0.0,120.0,250,80
385,61,0.014148379999824101,0.0,122.0,250,80
386,62,0.014270255000155885,0.0,124.0,250,80
387,63,0.01439335199756897,0.0,126.0,250,80
388,64,0.014518789997964632,0.0,128.0,250,80
389,65,0.01464662199941813,0.0,130.0,250,80
390,66,0.014779380999243585,0.0,132.0,250,80
391,67,0.014919237997673918,0.0,134.0,250,80
392,68,0.015043360999698052,0.0,136.0,250,80
393,69,0.015168423997238278,0.0,138.0,250,80
394,70,0.015294335997168673,0.0,140.0,250,80
395,71,0.015421268999489257,0.0,142.0,250,80
396,72,0.015549088999250671,0.0,144.0,250,80
397,73,0.01568277600017609,0.0,146.0,250,80
398,74,0.01581476899809786,0.0,148.0,250,80
399,75,0.015946133997204015,0.0,150.0,250,80
400,76,0.01607652099846746,0.0,152.0,250,80
401,77,0.016208501998335123,0.0,154.0,250,80
402,78,0.016340914997272193,0.0,156.0,250,80
403,79,0.016475071999593638,0.0,158.0,250,80
404,80,0.016609755999525078,0.0,160.0,250,80
405,0,0.00019458499809843488,0.0,0.0,500,80
406,1,0.007953410997288302,0.0,2.0,500,80
407,2,0.008073656998021761,0.0,4.0,500,80
408,3,0.008152738999342546,0.0,6.0,500,80
409,4,0.008226252997701522,0.0,8.0,500,80
410,5,0.008301832000142895,0.0,10.0,500,80
411,6,0.008375714998692274,0.0,12.0,500,80
412,7,0.008450344997982029,0.0,14.0,500,80
413,8,0.008530621998943388,0.0,16.0,500,80
